morphotype,amount,plot,tree,date,adult/larvae
orth003,4,w1g5p1,melamu,7/20/2016,A
orth002,1,w1g5p1,melamu,7/20/2016,A
orth001,7,w1g5p1,melamu,7/20/2016,L
orth020,1,w1g5p1,melamu,7/20/2016,L
orth043,2,w1g5p1,melamu,7/20/2016,L
orth019,1,w1g5p1,melamu,7/20/2016,L
orth004,2,w1g5p1,melamu,7/20/2016,L
orth005,1,w1g5p1,melamu,7/20/2016,L
orth008,1,w1g5p1,melamu,7/20/2016,L
orth079,1,w1g5p1,melamu,7/20/2016,L
orth018,5,w1g5p1,melamu,7/20/2016,L
orth028,7,w1g5p1,melamu,7/20/2016,L
orth015,1,w1g5p1,melamu,7/20/2016,L
orth052,2,w1g5p1,melamu,7/20/2016,L
orth016,1,w1g5p1,melamu,7/20/2016,L
orth054,2,w1g5p1,melamu,7/20/2016,L
orth088,1,w1g5p1,melamu,7/20/2016,L
orth049,5,w1g5p4,cordte,7/19/2016,A
orth065,1,w1g5p4,cordte,7/19/2016,A
orth010,1,w1g5p4,cordte,7/19/2016,A
orth071,1,w1g5p4,cordte,7/19/2016,L
orth068,1,w1g5p4,melamu,7/19/2016,L
orth020,1,w1g5p4,melamu,7/19/2016,L
orth018,2,w1g5p4,melamu,7/19/2016,L
orth003,1,w1g5p4,melamu,7/19/2016,A
orth024,1,w1g5p4,melamu,7/19/2016,L
orth030,1,w1g5p4,melamu,7/19/2016,L
